Table_Ref,CollectionYearRange,Parent_Org_ONS_Code,Parent_Org_Name,Org_ONS_Code,Org_Name,Child_Age,Unit,Indicator,Value
9a_9b_9c,2018-19,E12000002,North West,E06000008,Blackburn with Darwen,24m,Number,DTap_IPV_Hib,2070
9a_9b_9c,2018-19,E12000002,North West,E06000008,Blackburn with Darwen,24m,Number,MMR,2004
9a_9b_9c,2018-19,E12000002,North West,E06000008,Blackburn with Darwen,24m,Number,Hib_MenC,2017
9a_9b_9c,2018-19,E12000002,North West,E06000008,Blackburn with Darwen,24m,Number,PCV,2010
9a_9b_9c,2018-19,E12000002,North West,E06000008,Blackburn with Darwen,24m,Number,MenB_booster,1629
9a_9b_9c,2018-19,E12000002,North West,E06000009,Blackpool,24m,Number,24m_Eligible_Pop,1756
9a_9b_9c,2018-19,E12000002,North West,E06000009,Blackpool,24m,Number,DTap_IPV_Hib,1677
9a_9b_9c,2018-19,E12000002,North West,E06000009,Blackpool,24m,Number,MMR,1625
9a_9b_9c,2018-19,E12000002,North West,E06000009,Blackpool,24m,Number,Hib_MenC,1630
9a_9b_9c,2018-19,E12000002,North West,E06000009,Blackpool,24m,Number,PCV,1623
9a_9b_9c,2018-19,E12000002,North West,E06000009,Blackpool,24m,Number,MenB_booster,1550
9a_9b_9c,2018-19,E12000002,North West,E06000049,Cheshire East,24m,Number,24m_Eligible_Pop,3783
9a_9b_9c,2018-19,E12000002,North West,E06000049,Cheshire East,24m,Number,DTap_IPV_Hib,3635
9a_9b_9c,2018-19,E12000002,North West,E06000049,Cheshire East,24m,Number,MMR,3570
9a_9b_9c,2018-19,E12000002,North West,E06000049,Cheshire East,24m,Number,Hib_MenC,3583
9a_9b_9c,2018-19,E12000002,North West,E06000049,Cheshire East,24m,Number,PCV,3563
9a_9b_9c,2018-19,E12000002,North West,E06000049,Cheshire East,24m,Number,MenB_booster,3492
9a_9b_9c,2018-19,E12000002,North West,E06000050,Cheshire West and Chester,24m,Number,24m_Eligible_Pop,3625
9a_9b_9c,2018-19,E12000002,North West,E06000050,Cheshire West and Chester,24m,Number,DTap_IPV_Hib,3464
9a_9b_9c,2018-19,E12000002,North West,E06000050,Cheshire West and Chester,24m,Number,MMR,3355
9a_9b_9c,2018-19,E12000002,North West,E06000050,Cheshire West and Chester,24m,Number,Hib_MenC,3356
9a_9b_9c,2018-19,E12000002,North West,E06000050,Cheshire West and Chester,24m,Number,PCV,3333
9a_9b_9c,2018-19,E12000002,North West,E06000050,Cheshire West and Chester,24m,Number,MenB_booster,3370
9a_9b_9c,2018-19,E12000002,North West,E08000001,Bolton,24m,Number,24m_Eligible_Pop,3905
9a_9b_9c,2018-19,E12000002,North West,E08000001,Bolton,24m,Number,DTap_IPV_Hib,3772
9a_9b_9c,2018-19,E12000002,North West,E08000001,Bolton,24m,Number,MMR,3668
9a_9b_9c,2018-19,E12000002,North West,E08000001,Bolton,24m,Number,Hib_MenC,3637
9a_9b_9c,2018-19,E12000002,North West,E08000001,Bolton,24m,Number,PCV,3633
9a_9b_9c,2018-19,E12000002,North West,E08000001,Bolton,24m,Number,MenB_booster,3592
9a_9b_9c,2018-19,E12000002,North West,E08000002,Bury,24m,Number,24m_Eligible_Pop,2360
9a_9b_9c,2018-19,E12000002,North West,E08000002,Bury,24m,Number,DTap_IPV_Hib,2164
9a_9b_9c,2018-19,E12000002,North West,E08000002,Bury,24m,Number,MMR,2160
9a_9b_9c,2018-19,E12000002,North West,E08000002,Bury,24m,Number,Hib_MenC,2152
9a_9b_9c,2018-19,E12000002,North West,E08000002,Bury,24m,Number,PCV,2075
9a_9b_9c,2018-19,E12000002,North West,E08000002,Bury,24m,Number,MenB_booster,1596
9a_9b_9c,2018-19,E12000002,North West,E08000003,Manchester,24m,Number,24m_Eligible_Pop,7898
9a_9b_9c,2018-19,E12000002,North West,E08000003,Manchester,24m,Number,DTap_IPV_Hib,7317
9a_9b_9c,2018-19,E12000002,North West,E08000003,Manchester,24m,Number,MMR,6938
9a_9b_9c,2018-19,E12000002,North West,E08000003,Manchester,24m,Number,Hib_MenC,6937
9a_9b_9c,2018-19,E12000002,North West,E08000003,Manchester,24m,Number,PCV,6944
9a_9b_9c,2018-19,E12000002,North West,E08000003,Manchester,24m,Number,MenB_booster,6636
9a_9b_9c,2018-19,E12000002,North West,E08000004,Oldham,24m,Number,24m_Eligible_Pop,3442
9a_9b_9c,2018-19,E12000002,North West,E08000004,Oldham,24m,Number,DTap_IPV_Hib,3293
9a_9b_9c,2018-19,E12000002,North West,E08000004,Oldham,24m,Number,MMR,3267
9a_9b_9c,2018-19,E12000002,North West,E08000004,Oldham,24m,Number,Hib_MenC,3261
9a_9b_9c,2018-19,E12000002,North West,E08000004,Oldham,24m,Number,PCV,3186
9a_9b_9c,2018-19,E12000002,North West,E08000004,Oldham,24m,Number,MenB_booster,2827
9a_9b_9c,2018-19,E12000002,North West,E08000005,Rochdale,24m,Number,24m_Eligible_Pop,3150
9a_9b_9c,2018-19,E12000002,North West,E08000005,Rochdale,24m,Number,DTap_IPV_Hib,2974
9a_9b_9c,2018-19,E12000002,North West,E08000005,Rochdale,24m,Number,MMR,2965
9a_9b_9c,2018-19,E12000002,North West,E08000005,Rochdale,24m,Number,Hib_MenC,2961
9a_9b_9c,2018-19,E12000002,North West,E08000005,Rochdale,24m,Number,PCV,2896
9a_9b_9c,2018-19,E12000002,North West,E08000005,Rochdale,24m,Number,MenB_booster,2482
9a_9b_9c,2018-19,E12000002,North West,E08000006,Salford,24m,Number,24m_Eligible_Pop,3491
9a_9b_9c,2018-19,E12000002,North West,E08000006,Salford,24m,Number,DTap_IPV_Hib,3315
9a_9b_9c,2018-19,E12000002,North West,E08000006,Salford,24m,Number,MMR,3206
9a_9b_9c,2018-19,E12000002,North West,E08000006,Salford,24m,Number,Hib_MenC,3145
9a_9b_9c,2018-19,E12000002,North West,E08000006,Salford,24m,Number,PCV,3197
9a_9b_9c,2018-19,E12000002,North West,E08000006,Salford,24m,Number,MenB_booster,3064
