CTRY,SC_KNOWL,UND_SCSCI,SC_DZ,SC_POET,SC_PS,SC_SS,SC_UNI,SCINFO_30D,MDHINFO_30D,SC_INT,MDH_INT,CONF_NGO,CONF_HOSP,TRU_NEIGHB,TRU_SCI,TRU_JO,TRU_HCW,TRU_NGOPPL,TRU_TH,TRU_SC,TRUSCI_ACCINFO,TRUSCIUNI_BEN,TRUSCIUNI_HON,TRUSCICOM_BEN,TRUSCICOM_HON,SCI_BENPPL,SCI_BENRESP,SCTECH_IMPRLIFE,SCTECH_JOBS,TRU_PPLADV,TRU_HCWADV,HRD_VAC,VAC_IMPTCH,VAC_SF,VAC_EFF,TRUSCI_IDX,TRUSCI_LVL,VW_SC,AGE,AGE_CAT,GEN,EDU,LIV_AR,RGN,SUBJ_HHI,CTRY_INC,EMP_STAT
1,2,1,1,2,1,1,1,1,1,1,1,2,1,2,1,2,1,2,98,1,1,1,1,2,2,1,1,1,1,3,1,1,1,1,1,3.8,3,1,22,1,2,2,1,7,1,4,5
1,2,1,1,1,1,1,1,2,2,2,2,2,1,4,3,4,2,4,4,2,2,2,2,2,2,3,1,1,1,3,4,1,4,3,2,2.8,2,2,24,1,2,2,2,7,3,4,3
1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,3,1,1,1,1,2,4,1,1,1,1,3,1,1,1,1,1,3.8,3,1,37,2,1,3,2,7,1,4,1
1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,2,2,3,2,1,1,2,3,1,1,1,1,1,3.6,3,2,68,3,1,3,2,7,1,4,6
1,2,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,3,3,3,2,1,99,1,3,2,1,1,2,2,2.6,2,2,48,2,1,3,1,7,1,4,1
1,1,1,1,98,1,1,1,1,1,1,1,1,2,2,1,1,2,2,99,1,1,1,2,2,4,1,1,1,1,3,2,1,1,1,1,3.6,3,1,30,2,1,3,2,7,2,4,4
1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,4,2,2,4,1,1,1,2,3,3,1,1,1,1,3,1,1,1,1,2,3.4,2,1,23,1,1,3,1,7,2,4,1
1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,2,3,1,1,2,1,2,1,1,1,1,1,3,1,1,1,1,1,3.4,2,1,37,2,1,3,2,7,2,4,1
1,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,3,1,2,2,1,1,1,2,1,2,1,1,1,1,3,1,1,1,2,1,3.8,3,1,49,2,2,3,2,7,1,4,1
1,2,1,1,2,1,1,1,2,2,2,2,1,1,1,3,4,1,2,3,2,3,2,2,2,3,2,2,2,2,2,2,1,2,2,2,2.6,2,3,37,2,1,2,1,7,1,4,1
