CTRY,SC_KNOWL,UND_SCSCI,SC_DZ,SC_POET,SC_PS,SC_SS,SC_UNI,SCINFO_30D,MDHINFO_30D,SC_INT,MDH_INT,CONF_NGO,CONF_HOSP,TRU_NEIGHB,TRU_SCI,TRU_JO,TRU_HCW,TRU_NGOPPL,TRU_TH,TRU_SC,TRUSCI_ACCINFO,TRUSCIUNI_BEN,TRUSCIUNI_HON,TRUSCICOM_BEN,TRUSCICOM_HON,SCI_BENPPL,SCI_BENRESP,SCTECH_IMPRLIFE,SCTECH_JOBS,TRU_PPLADV,TRU_HCWADV,HRD_VAC,VAC_IMPTCH,VAC_SF,VAC_EFF,VAC_IDX,VAC_LVL,TRUSCI_IDX,TRUSCI_LVL,VW_SC,AGE,AGE_CAT,GEN,EDU,LIV_AR,RGN,SUBJ_HHI,CTRY_INC,EMP_STAT
53,2,2,1,2,2,1,1,1,1,1,1,1,1,2,2,3,2,2,3,98,2,2,2,2,2,2,1,1,98,1,2,1,4,4,4,4.0,High,3.0,2,2,25,1,2,3,2,11,3,2,2
186,4,4,1,98,2,2,2,2,2,1,1,2,2,1,2,1,1,98,98,2,2,1,2,2,2,1,1,1,1,3,1,1,5,5,5,5.0,High,3.2,2,1,21,1,2,1,1,5,3,1,1
119,1,1,1,2,1,97,97,1,1,1,98,1,1,2,1,2,1,1,3,1,1,2,2,2,1,2,98,98,2,3,2,1,5,3,3,3.6666666666666665,High,3.4,2,99,16,1,2,1,1,15,2,4,3
175,2,1,1,2,2,1,97,2,2,2,2,1,1,2,2,2,2,2,4,2,2,2,2,3,3,1,1,1,2,3,2,1,5,5,5,5.0,High,2.8,2,1,18,1,1,1,1,14,2,4,6
82,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,4,2,2,1,1,1,3,2,1,5,5,5,5.0,High,3.0,2,2,22,1,1,2,1,6,2,3,1
24,2,2,1,2,2,1,1,1,1,1,1,2,1,2,2,3,2,3,4,2,3,2,2,2,3,1,1,1,1,3,2,1,5,5,4,4.666666666666667,High,2.8,2,1,21,1,1,2,2,16,3,4,6
108,4,4,2,2,1,97,97,2,2,1,1,2,2,4,4,4,3,98,4,4,4,4,3,3,2,3,1,1,2,5,4,1,5,5,5,5.0,High,1.4,1,2,15,1,2,2,1,2,3,2,6
77,2,1,1,98,1,1,1,2,2,1,1,2,98,2,2,2,2,3,3,2,2,2,98,2,98,1,98,1,1,98,3,1,5,4,4,4.333333333333333,High,3.0,2,99,21,1,1,3,2,14,2,2,6
18,3,1,1,2,2,2,2,2,2,2,1,1,1,1,2,2,1,2,3,1,1,2,2,2,2,2,1,1,2,3,1,1,5,5,5,5.0,High,3.2,2,2,28,1,1,3,2,16,3,4,3
28,2,2,1,2,1,1,2,1,2,1,1,2,1,1,2,3,2,3,4,2,2,98,98,98,98,2,1,1,2,3,2,1,4,3,3,3.3333333333333335,Medium,0.0,99,2,16,1,1,2,2,11,1,4,6
116,3,1,1,2,1,1,1,2,2,2,2,2,2,4,4,4,4,4,4,3,3,4,4,4,4,3,1,2,2,3,3,1,5,4,5,4.666666666666667,High,1.2,1,2,22,1,2,3,1,6,2,2,1
158,4,3,1,1,1,1,2,2,2,2,1,1,1,4,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,1,5,5,5,5.0,High,3.0,2,2,25,1,1,2,1,6,2,2,2
89,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,98,2,1,1,1,98,1,98,1,1,1,3,3,1,1,5,5,5,5.0,High,4.0,3,1,35,2,2,3,2,17,1,4,1
37,3,3,1,2,2,2,2,2,2,1,1,1,1,2,1,1,1,4,2,2,1,1,1,1,1,1,2,1,1,3,1,1,5,5,5,5.0,High,4.0,3,3,16,1,1,1,1,1,3,1,2
31,1,1,1,2,97,97,97,1,1,1,1,1,1,1,1,2,1,3,4,1,1,2,2,2,2,1,1,1,1,3,1,1,5,5,5,5.0,High,3.4,2,1,26,1,1,3,1,12,2,2,3
115,2,2,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,1,1,2,2,2,2,3,2,1,1,3,4,1,5,5,5,5.0,High,3.2,2,4,20,1,1,2,1,8,2,3,5
79,3,3,1,2,1,1,2,2,2,1,1,1,1,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,3,2,1,5,2,5,4.0,High,2.8,2,1,18,1,2,1,1,2,3,2,5
41,2,2,1,1,1,1,1,1,1,1,1,1,1,4,2,2,2,2,3,3,1,2,1,3,2,2,1,1,3,3,4,1,5,5,1,3.6666666666666665,High,3.2,2,2,21,1,2,2,1,1,1,1,2
34,3,2,1,2,1,1,2,2,2,2,2,2,2,2,3,4,2,3,4,2,2,2,3,2,2,2,1,1,2,3,2,1,4,4,5,4.333333333333333,High,2.6,2,2,25,1,1,2,2,6,2,3,2
17,2,1,1,2,2,1,2,2,2,2,2,1,1,2,2,3,2,2,98,2,1,3,3,1,2,2,1,1,1,3,2,1,4,5,5,4.666666666666667,High,3.0,2,2,22,1,1,2,1,16,2,4,5
